position=< 41660,  20869> velocity=<-4, -2>
position=< 41617,  10491> velocity=<-4, -1>
position=< 41669, -10244> velocity=<-4,  1>
position=< 10509, -41348> velocity=<-1,  4>
position=<-41324, -51717> velocity=< 4,  5>
position=< 41616, -30982> velocity=<-4,  3>
position=< 31242, -51716> velocity=<-3,  5>
position=<-20570, -30976> velocity=< 2,  3>
position=< 20882,  51971> velocity=<-2, -5>
position=<-10205, -30981> velocity=< 1,  3>
position=< 31299, -20612> velocity=<-3,  2>
position=<-41320,  51974> velocity=< 4, -5>
position=<-10205, -51723> velocity=< 1,  5>
position=<-10237,  10492> velocity=< 1, -1>
position=<-10181, -10244> velocity=< 1,  1>
position=< 31275, -10243> velocity=<-3,  1>
position=< 52025,  51974> velocity=<-5, -5>
position=< 41634, -20612> velocity=<-4,  2>
position=< 41632, -20610> velocity=<-4,  2>
position=< 52028, -10247> velocity=<-5,  1>
position=<-30972,  51969> velocity=< 3, -5>
position=<-30946, -20609> velocity=< 3,  2>
position=<-30918,  31229> velocity=< 3, -3>
position=< 41618, -51714> velocity=<-4,  5>
position=< 31284,  31231> velocity=<-3, -3>
position=<-30931, -20616> velocity=< 3,  2>
position=<-30964,  31238> velocity=< 3, -3>
position=<-20577,  10495> velocity=< 2, -1>
position=< 20899, -51720> velocity=<-2,  5>
position=< 31284, -41354> velocity=<-3,  4>
position=<-20570,  10491> velocity=< 2, -1>
position=<-20605,  20865> velocity=< 2, -2>
position=<-41320, -41345> velocity=< 4,  4>
position=<-41328, -10240> velocity=< 4,  1>
position=< 20926,  41601> velocity=<-2, -4>
position=<-30967,  10491> velocity=< 3, -1>
position=< 41637, -10242> velocity=<-4,  1>
position=<-10179,  20864> velocity=< 1, -2>
position=<-51665, -10240> velocity=< 5,  1>
position=<-30951,  41600> velocity=< 3, -4>
position=<-51709, -10246> velocity=< 5,  1>
position=< 20923, -10239> velocity=<-2,  1>
position=<-41296,  31237> velocity=< 4, -3>
position=< 10521,  41601> velocity=<-1, -4>
position=<-41296, -30983> velocity=< 4,  3>
position=<-20586,  20861> velocity=< 2, -2>
position=<-10176,  10499> velocity=< 1, -1>
position=< 20894,  10493> velocity=<-2, -1>
position=< 51977, -20613> velocity=<-5,  2>
position=<-30965,  51967> velocity=< 3, -5>
position=<-41296,  20866> velocity=< 4, -2>
position=<-41334, -51714> velocity=< 4,  5>
